,Distance mahalanobis,Phrase,Index phrase,Roman
100,6.2232695,"Et comme j ' avais ajouté à demi ironiquement : « J ' ai souffert toutes les tortures de la jalousie , » Albertine , usant du langage propre , soit au milieu vulgaire d ' où elle était sortie , soit au plus vulgaire encore qu ' elle fréquentait : « Quel chineur vous faites !",32390,4laprison.txt
101,6.2309456,"Mais elle , rebelle , extérieure à leur diction , restait irréductiblement leur voix naturelle , avec ses défauts ou ses charmes matériels , sa vulgarité ou son affectation quotidiennes , et étalait ainsi un ensemble de phénomènes acoustiques ou sociaux que n ' avait pas altéré le sentiment des vers récités .",12049,2guermantes1.txt
102,6.236675,"Pourtant comme celui - ci était causé par l ' entrée de Françoise , entrée qu ' avait elle - même motivée mon coup de sonnette , ce nouveau sommeil qui me paraissait avoir dû être plus long que l ' autre et avait amené en moi tant de bien - être et d ' oubli , n ' avait duré qu ' une demi - minute .",9913,1ombre3.txt
103,6.240134,"La joie que lui avaient causée telles sonorités , les forces accrues qu ' elle lui avait données pour en découvrir d ' autres , menaient encore l ' auditeur de trouvaille en trouvaille , ou plutôt c ' était le créateur qui le conduisait lui - même , puisant dans les couleurs qu ' il venait de trouver une joie éperdue qui lui donnait la puissance de découvrir , de se jeter sur celles qu ' elles semblaient appeler , ravi , tressaillant , comme au choc d ' une étincelle , quand le sublime naissait de lui - même de la rencontre des cuivres , haletant , grisé , affolé , vertigineux , tandis qu ' il peignait sa grande fresque musicale , comme Michel - Ange attaché à son échelle et lançant , la tête en bas , de tumultueux coups de brosse au plafond de la chapelle Sixtine .",31260,4laprison.txt
104,6.243148,"Ma tendresse pour Albertine se trouvait , par accident , les rendre tout à fait insupportables .",27526,3sodome2.txt
105,6.2433386,Or à ce moment je fus précisément favorisé d ' une telle apparition magique .,31202,4laprison.txt
106,6.252079,"Car , elle , on l ' appelait .",27182,3sodome2.txt
107,6.2538586,"J ' aime bien Eliane : aussi je ne lui en voulus pas , je me contentai de ne pas tenir compte des mots étranges et déplacés de quatuor tchèque et comme je suis un homme d ' ordre je mis au - dessus de ma cheminée l ' invitation de penser à Madame de Montmorency le Vendredi à 9 h . 1 / 2 .",31395,4laprison.txt
108,6.2543993,"Sans doute y avait - il quelque article d ' un écrivain que j ' aimais et qui , écrivant rarement , serait pour moi une surprise .",35408,5disparue2.txt
109,6.256429,"Car souvent quand je restais endormi au moment où j ' avais pensé au contraire que le bruit m ' aurait réveillé , pendant une heure encore je croyais l ' être , tout en sommeillant , et je me jouais à moi - même en minces ombres sur l ' écran de mon sommeil les divers spectacles auxquels il m ' empêchait , mais auxquels j ' avais l ' illusion d ' assister .",12501,2guermantes1.txt
110,6.2579455,il entendait seulement dans le silence de la nuit le murmure d ’ une conversation .,3219,0ducote.txt
111,6.2581873,"Et au moment où mon oreille recueillait ce bruit divin , il me semblait que c ' était , condensée en lui , toute la personne , toute la vie de la charmante captive , étendue là sous mes yeux .",28781,4laprison.txt
112,6.260085,L ' enthousiasme musical la saisit .,22989,3sodome1.txt
113,6.263535,"Ce n ' était pas seulement une matinée mondaine , une promenade avec Mme de Villeparisis que j ' eusse sacrifiées au « furet » ou aux « devinettes » de mes amies .",11016,1ombre3.txt
114,6.271645,il entendit un murmure céleste .,36284,5disparue2.txt
115,6.273282,C ' est avec délices que j ' écoutais leur pépiement .,11032,1ombre3.txt
116,6.2796726,Peut - être certains chefs - d ' oeuvre ont - ils été composés en bâillant . »,9762,1ombre3.txt
117,6.285892,mais je lui donnais probablement deux significations qui m ' épouvantaient également .,33348,4laprison.txt
